job_title,company,match_score,recommendation,salary_range,location,job_url
"Senior Associate, Data Scientist - Model Risk Office",Capital One,83.2,🚀 STRONG MATCH - Highly recommended,,"McLean, Virginia",https://www.capitalonecareers.com/job/mclean/senior-associate-data-scientist-model-risk-office/1732/85519543568
Senior Data Engineer,Capital One,83.16,🚀 STRONG MATCH - Highly recommended,,"McLean, Virginia",https://www.capitalonecareers.com/job/mclean/senior-data-engineer/1732/86225816720
"Senior Data Engineer (Python, Spark, Databricks, AWS)",Capital One,83.11,🚀 STRONG MATCH - Highly recommended,,"McLean, Virginia",https://www.capitalonecareers.com/job/mclean/senior-data-engineer-python-spark-databricks-aws/1732/86526006880
Lead Machine Learning Engineer,Capital One,83.05,🚀 STRONG MATCH - Highly recommended,,"Cambridge, Massachusetts",https://www.capitalonecareers.com/job/cambridge/lead-machine-learning-engineer/1732/84768146416
Lead Machine Learning Engineer,Capital One,83.01,🚀 STRONG MATCH - Highly recommended,"McLean, VA: $193,400 - $220,700; Richmond, VA: $175,800 - $200,700; New York, NY: $211,000 - $240,800; Anytown, IL: $175,800 - $200,700","Chicago, Illinois, Boston, Massachusetts, Richmond, Virginia, McLean, Virginia, New York, New York",https://www.capitalonecareers.com/job/chicago/lead-machine-learning-engineer/1732/85703272816
"Lead Machine Learning Engineer (ML Algorithms, Deep Learning, Python, AWS)",Capital One,82.96,🚀 STRONG MATCH - Highly recommended,"New York, NY: $211,000 - $240,800; Richmond, VA: $175,800 - $200,700; San Francisco, CA: $211,000 - $240,800","McLean, Virginia; Richmond, Virginia; New York, New York",https://www.capitalonecareers.com/job/mclean/lead-machine-learning-engineer-ml-algorithms-deep-learning-python-aws/1732/84961749952
"Senior Data Engineer (Python, SQL, AWS)",Capital One,82.96,🚀 STRONG MATCH - Highly recommended,,"Plano, Texas",https://www.capitalonecareers.com/job/plano/senior-data-engineer-python-sql-aws/1732/84767016512
Lead Machine Learning Engineer,Capital One,82.86,🚀 STRONG MATCH - Highly recommended,,"New York, New York",https://www.capitalonecareers.com/job/new-york/lead-machine-learning-engineer/1732/84767012832
Senior Machine Learning Engineer,Capital One,82.83,🚀 STRONG MATCH - Highly recommended,"$144,200 - $164,600 (for Plano, TX and Richmond, VA)","Richmond, Virginia; Plano, Texas; McLean, Virginia",https://www.capitalonecareers.com/job/richmond/senior-machine-learning-engineer/1732/84768144560
"Sr. Data Engineer (Python, PySpark, AWS)",Capital One,82.82,🚀 STRONG MATCH - Highly recommended,,"Richmond, Virginia",https://www.capitalonecareers.com/job/richmond/sr-data-engineer-python-pyspark-aws/1732/86516337168
"Principal Associate, Data Scientist - US Card Acquisitions",Capital One,82.8,🚀 STRONG MATCH - Highly recommended,"$173,000 - $197,400","McLean, Virginia | New York, New York",https://www.capitalonecareers.com/job/mclean/principal-associate-data-scientist-us-card-acquisitions/1732/86283133360
"Senior Director, Data Science",Capital One,82.79,🚀 STRONG MATCH - Highly recommended,"$280,600 - $320,200 (Richmond, VA); $336,700 - $384,200 (New York, NY)","McLean, Virginia | New York, New York | Richmond, Virginia",https://www.capitalonecareers.com/job/mclean/senior-director-data-science/1732/85519543984
Lead Data Engineer,Capital One,82.79,🚀 STRONG MATCH - Highly recommended,,"McLean, Virginia",https://www.capitalonecareers.com/job/mclean/lead-data-engineer/1732/86225816752
"Principal Data Scientist, Consumer Identity Machine Learning",Capital One,82.72,🚀 STRONG MATCH - Highly recommended,"$173,000 - $197,400 (for New York, NY and San Jose, CA)","McLean, Virginia, San Jose, California, New York, New York",https://www.capitalonecareers.com/job/mclean/principal-data-scientist-consumer-identity-machine-learning/1732/85041707808
"Senior Manager, Data Science",Capital One,82.69,🚀 STRONG MATCH - Highly recommended,"$204,900 - $233,800","McLean, Virginia",https://www.capitalonecareers.com/job/mclean/senior-manager-data-science/1732/84766997312
"Senior Machine Learning Engineer (Python, AWS, Big Data) - Auto Loan Valuations & Insights",Capital One,82.69,🚀 STRONG MATCH - Highly recommended,,"Plano, Texas",https://www.capitalonecareers.com/job/plano/senior-machine-learning-engineer-python-aws-big-data-auto-loan-valuations-and-insights/1732/86283133072
"Manager, Data Scientist - Applied AI",Capital One,82.68,🚀 STRONG MATCH - Highly recommended,,"McLean, Virginia",https://www.capitalonecareers.com/job/mclean/manager-data-scientist-applied-ai/1732/86070871952
Senior Data engineer,Capital One,82.65,🚀 STRONG MATCH - Highly recommended,"$158,600 - $181,000","McLean, Virginia",https://www.capitalonecareers.com/job/mclean/senior-data-engineer/1732/86516337120
Senior Machine Learning Engineer,Capital One,82.65,🚀 STRONG MATCH - Highly recommended,"$144,200 - $164,600","McLean, Virginia | Richmond, Virginia",https://www.capitalonecareers.com/job/mclean/senior-machine-learning-engineer/1732/85712128640
Senior Data Engineer,Capital One,82.64,🚀 STRONG MATCH - Highly recommended,"$144,200 - $164,600","Plano, Texas",https://www.capitalonecareers.com/job/plano/senior-data-engineer/1732/85492261248
"Principal Associate, Data Scientist",Capital One,82.59,🚀 STRONG MATCH - Highly recommended,"$144,200 - $164,600 (Richmond, VA); $173,000 - $197,400 (New York, NY)","McLean, Virginia | New York, New York | Richmond, Virginia",https://www.capitalonecareers.com/job/mclean/principal-associate-data-scientist/1732/85519543952
Senior Data Engineer,Capital One,82.59,🚀 STRONG MATCH - Highly recommended,"$144,200 - $164,600 (Plano, TX/Richmond, VA)","McLean, Virginia",https://www.capitalonecareers.com/job/mclean/senior-data-engineer/1732/84768134256
"Senior Data Engineer (Python, SQL, AWS)",Capital One,82.57,🚀 STRONG MATCH - Highly recommended,"$144,200 - $164,600","McLean, Virginia",https://www.capitalonecareers.com/job/mclean/senior-data-engineer-python-sql-aws/1732/84767017072
"Principal Associate, Data Scientist - US Card (New To Credit Team)",Capital One,82.57,🚀 STRONG MATCH - Highly recommended,"$158,600 - $181,000 (McLean, VA); $173,000 - $197,400 (New York, NY)","McLean, Virginia, New York, New York, Chicago, Illinois",https://www.capitalonecareers.com/job/mclean/principal-associate-data-scientist-us-card-new-to-credit-team/1732/85307144960
Lead Software Engineer,Capital One,82.55,🚀 STRONG MATCH - Highly recommended,,"Bengaluru, India",https://www.capitalonecareers.com/job/bengaluru/lead-software-engineer/1732/85768675728
Lead Data Engineer (Python/Spark/AWS),Capital One,82.55,🚀 STRONG MATCH - Highly recommended,,"McLean, Virginia",https://www.capitalonecareers.com/job/mclean/lead-data-engineer-python-spark-aws/1732/86526007184
"Senior Data Engineer (Python, AWS)",Capital One,82.54,🚀 STRONG MATCH - Highly recommended,"$144,200 - $164,600","McLean, Virginia; Richmond, Virginia",https://www.capitalonecareers.com/job/mclean/senior-data-engineer-python-aws/1732/86487265888
"Principal Associate, Data Science - Financial Services",Capital One,82.52,🚀 STRONG MATCH - Highly recommended,,"Plano, Texas",https://www.capitalonecareers.com/job/plano/principal-associate-data-science-financial-services/1732/84767013504
"Senior Lead Data Engineer (Python, AWS, SQL, AI, ML)",Capital One,82.51,🚀 STRONG MATCH - Highly recommended,"Richmond, VA: $204,900 - $233,800; Cambridge, MA: $225,400 - $257,200","McLean, Virginia / Cambridge, Massachusetts / Richmond, Virginia",https://www.capitalonecareers.com/job/mclean/senior-lead-data-engineer-python-aws-sql-ai-ml/1732/86070872064
"Principal Associate, Data Science",Capital One,82.49,🚀 STRONG MATCH - Highly recommended,"$173,000 - $197,400 (for New York, NY)","McLean, Virginia; New York, New York",https://www.capitalonecareers.com/job/mclean/principal-associate-data-science/1732/86516336832
"Senior Data Engineer (Python, AWS)",Capital One,82.49,🚀 STRONG MATCH - Highly recommended,"$144,200 - $164,600","McLean, Virginia",https://www.capitalonecareers.com/job/mclean/senior-data-engineer-python-aws/1732/85563041824
Senior Data Engineer,Capital One,82.46,🚀 STRONG MATCH - Highly recommended,"$144,200 - $164,600 (for Richmond, VA)","McLean, Virginia | Richmond, Virginia",https://www.capitalonecareers.com/job/mclean/senior-data-engineer/1732/85703272912
"Senior Machine Learning Engineer (ML Algorithms, Deep Learning, Python, AWS)",Capital One,82.44,🚀 STRONG MATCH - Highly recommended,"$173,000 - $197,400 (New York, NY/San Francisco, CA); $144,200 - $164,600 (Richmond, VA)","McLean, Virginia; Richmond, Virginia; New York, New York; San Francisco, California",https://www.capitalonecareers.com/job/mclean/senior-machine-learning-engineer-ml-algorithms-deep-learning-python-aws/1732/85077629888
Senior Data Engineer,Capital One,82.42,🚀 STRONG MATCH - Highly recommended,"$144,200 - $164,600","Richmond, Virginia | McLean, Virginia",https://www.capitalonecareers.com/job/richmond/senior-data-engineer/1732/84767072000
Senior Lead Data Engineer,Capital One,82.4,🚀 STRONG MATCH - Highly recommended,"$204,900 - $233,800 (Plano, TX & Richmond, VA ranges provided)","McLean, Virginia",https://www.capitalonecareers.com/job/mclean/senior-lead-data-engineer/1732/84767012064
Senior Lead Machine Learning Engineer,Capital One,82.4,🚀 STRONG MATCH - Highly recommended,"$245,900 - $280,600 (for New York, NY)","New York, New York",https://www.capitalonecareers.com/job/new-york/senior-lead-machine-learning-engineer/1732/84768148448
"Principal Associate, Data Scientist - US Card (Application Fraud Team)",Capital One,82.39,🚀 STRONG MATCH - Highly recommended,"McLean, VA: $158,600 - $181,000; New York, NY: $173,000 - $197,400; Richmond, VA: $144,200 - $164,600","McLean, Virginia, Richmond, Virginia, Chicago, Illinois, New York, New York",https://www.capitalonecareers.com/job/mclean/principal-associate-data-scientist-us-card-application-fraud-team/1732/86179445280
"Senior Data Engineer (Python, AWS)",Capital One,82.37,🚀 STRONG MATCH - Highly recommended,,"McLean, Virginia",https://www.capitalonecareers.com/job/mclean/senior-data-engineer-python-aws/1732/84767016096
"Senior Data Engineer (Python, SQL, AWS)",Capital One,82.37,🚀 STRONG MATCH - Highly recommended,"$144,200 - $164,600 (for Plano, TX and Richmond, VA)","McLean, Virginia; Plano, Texas; Richmond, Virginia",https://www.capitalonecareers.com/job/mclean/senior-data-engineer-python-sql-aws/1732/84767013888
"Senior Manager, Data Science - Credit Model Review",Capital One,82.36,🚀 STRONG MATCH - Highly recommended,"$204,900 - $233,800 (Riverwoods, IL); $225,400 - $257,200 (McLean, VA)","McLean, Virginia; Riverwoods, Illinois; Richmond, Virginia",https://www.capitalonecareers.com/job/mclean/senior-manager-data-science-credit-model-review/1732/84767072640
Senior Data Engineer,Capital One,82.36,🚀 STRONG MATCH - Highly recommended,"$173,000 - $197,400 (New York, NY), $144,200 - $164,600 (Richmond, VA)","New York, New York, McLean, Virginia, Richmond, Virginia",https://www.capitalonecareers.com/job/new-york/senior-data-engineer/1732/84767056208
Senior Machine Learning Engineer,Capital One,82.36,🚀 STRONG MATCH - Highly recommended,"$158,600 - $181,000 (McLean, VA); $173,000 - $197,400 (New York, NY)","New York, New York or McLean, Virginia or Cambridge, Massachusetts",https://www.capitalonecareers.com/job/new-york/senior-machine-learning-engineer/1732/85742280880
"Manager, Data Scientist - US Card (New To Credit Team)",Capital One,82.34,🚀 STRONG MATCH - Highly recommended,"$193,400 - $220,700 (McLean, VA)","McLean, Virginia",https://www.capitalonecareers.com/job/mclean/manager-data-scientist-us-card-new-to-credit-team/1732/85307146640
Senior Lead Data Engineer,Capital One,82.34,🚀 STRONG MATCH - Highly recommended,"$204,900 - $233,800","Plano, Texas",https://www.capitalonecareers.com/job/plano/senior-lead-data-engineer/1732/85813785296
Senior Data Engineer,Capital One,82.33,🚀 STRONG MATCH - Highly recommended,"$144,200 - $164,600","Richmond, Virginia",https://www.capitalonecareers.com/job/richmond/senior-data-engineer/1732/85921902976
Lead Data Engineer,Capital One,82.33,🚀 STRONG MATCH - Highly recommended,,"McLean, Virginia",https://www.capitalonecareers.com/job/mclean/lead-data-engineer/1732/85750038896
Senior Data Engineer,Capital One,82.31,🚀 STRONG MATCH - Highly recommended,,"McLean, Virginia",https://www.capitalonecareers.com/job/mclean/senior-data-engineer/1732/84767014896
"Senior Data Engineer, Python",Capital One,82.28,🚀 STRONG MATCH - Highly recommended,"$144,200 - $164,600 (for Plano, TX, Richmond, VA, Wilmington, DE)","McLean, Virginia",https://www.capitalonecareers.com/job/mclean/senior-data-engineer-python/1732/84890823904
"Lead Data Engineer (Python, SQL, AWS)",Capital One,82.27,🚀 STRONG MATCH - Highly recommended,"$175,800 - $200,700 (for Plano, TX and Richmond, VA locations)","McLean, Virginia",https://www.capitalonecareers.com/job/mclean/lead-data-engineer-python-sql-aws/1732/84768136336
Senior Data Engineer,Capital One,82.27,🚀 STRONG MATCH - Highly recommended,"$144,200 - $164,600","McLean, Virginia / Richmond, Virginia",https://www.capitalonecareers.com/job/mclean/senior-data-engineer/1732/84767013360
"Senior Lead Data Engineer (Python, AWS, SQL, AI, ML)",Capital One,82.27,🚀 STRONG MATCH - Highly recommended,"$204,900 - $233,800 (Richmond, VA); $225,400 - $257,200 (Cambridge, MA)","McLean, Virginia; Cambridge, Massachusetts; Richmond, Virginia",https://www.capitalonecareers.com/job/mclean/senior-lead-data-engineer-python-aws-sql-ai-ml/1732/86225816688
"Manager, Data Science",Capital One,82.26,🚀 STRONG MATCH - Highly recommended,"$211,000 - $240,800 (for New York, NY)","McLean, Virginia | New York, New York",https://www.capitalonecareers.com/job/mclean/manager-data-science/1732/86507404416
"Senior Director, Data Science - Customer Core Specialist Models",Capital One,82.25,🚀 STRONG MATCH - Highly recommended,"$336,700 - $384,200","New York, New York, McLean, Virginia, San Jose, California",https://www.capitalonecareers.com/job/new-york/senior-director-data-science-customer-core-specialist-models/1732/85280099312
Senior Data Engineer,Capital One,82.24,🚀 STRONG MATCH - Highly recommended,"$144,200 - $164,600","McLean, Virginia",https://www.capitalonecareers.com/job/mclean/senior-data-engineer/1732/84767012480
"Senior Manager, Data Science",Capital One,82.24,🚀 STRONG MATCH - Highly recommended,"$245,900 - $280,600 (for New York, NY)","McLean, Virginia; New York, New York",https://www.capitalonecareers.com/job/mclean/senior-manager-data-science/1732/86516336352
"Manager, Data Scientist - Credit Review",Capital One,82.24,🚀 STRONG MATCH - Highly recommended,"$193,400 - $220,700","McLean, Virginia",https://www.capitalonecareers.com/job/mclean/manager-data-scientist-credit-review/1732/85694922304
Senior Data Engineer,Capital One,82.21,🚀 STRONG MATCH - Highly recommended,"$144,200 - $164,600 (Richmond, VA); $173,000 - $197,400 (New York, NY); $158,600 - $181,000 (Cambridge, MA)","McLean, Virginia; Cambridge, Massachusetts; Richmond, Virginia; New York, New York",https://www.capitalonecareers.com/job/mclean/senior-data-engineer/1732/84767066912
"Senior Data Engineer (Python, AWS)",Capital One,82.2,🚀 STRONG MATCH - Highly recommended,"$144,200 - $164,600 (Richmond, VA); $173,000 - $197,400 (New York, NY)","McLean, Virginia, New York, New York, Richmond, Virginia",https://www.capitalonecareers.com/job/mclean/senior-data-engineer-python-aws/1732/84767016208
Senior Lead Data Engineer,Capital One,82.2,🚀 STRONG MATCH - Highly recommended,"$225,400 - $257,200 (for McLean, VA)","McLean, Virginia",https://www.capitalonecareers.com/job/mclean/senior-lead-data-engineer/1732/84767016240
"Senior Data Engineer (PySpark/Spark, AWS, Databricks, EMR, ETL/SQL)",Capital One,82.19,🚀 STRONG MATCH - Highly recommended,"$144,200 - $164,600","Richmond, Virginia",https://www.capitalonecareers.com/job/richmond/senior-data-engineer-pyspark-spark-aws-databricks-emr-etl-sql/1732/85316544816
"Principal Associate, Data Science",Capital One,82.17,🚀 STRONG MATCH - Highly recommended,,"McLean, Virginia",https://www.capitalonecareers.com/job/mclean/principal-associate-data-science/1732/86179445104
"Manager, Data Science",Capital One,82.14,🚀 STRONG MATCH - Highly recommended,"$175,800 - $200,700 (Richmond, VA); $211,000 - $240,800 (New York, NY)","McLean, Virginia; New York, New York; Richmond, Virginia",https://www.capitalonecareers.com/job/mclean/manager-data-science/1732/85519544032
Senior Data Engineer,Capital One,82.14,🚀 STRONG MATCH - Highly recommended,,"McLean, Virginia",https://www.capitalonecareers.com/job/mclean/senior-data-engineer/1732/84767015392
Lead Data Engineer,Capital One,82.13,🚀 STRONG MATCH - Highly recommended,,"Wilmington, Delaware",https://www.capitalonecareers.com/job/wilmington/lead-data-engineer/1732/84767001072
Senior Data Engineer,Capital One,82.12,🚀 STRONG MATCH - Highly recommended,"$173,000 - $197,400 (New York, NY); $144,200 - $164,600 (Richmond, VA)","McLean, Virginia; Richmond, Virginia; New York, New York",https://www.capitalonecareers.com/job/mclean/senior-data-engineer/1732/84767009968
Applied Researcher II,Capital One,82.11,🚀 STRONG MATCH - Highly recommended,"$280,700 - $320,400","San Francisco, California",https://www.capitalonecareers.com/job/san-francisco/applied-researcher-ii/1732/84767017120
"Senior Software Engineer, Back End",Capital One,82.11,🚀 STRONG MATCH - Highly recommended,"$144,200 - $164,600","Plano, Texas",https://www.capitalonecareers.com/job/plano/senior-software-engineer-back-end/1732/85315424912
Senior Data Engineer (Bank Tech),Capital One,82.1,🚀 STRONG MATCH - Highly recommended,,"Wilmington, Delaware",https://www.capitalonecareers.com/job/wilmington/senior-data-engineer-bank-tech/1732/84767016464
Senior Lead Data Engineer,Capital One,82.09,🚀 STRONG MATCH - Highly recommended,"$204,900 - $233,800 (for Plano, TX and Richmond, VA locations)","McLean, Virginia",https://www.capitalonecareers.com/job/mclean/senior-lead-data-engineer/1732/85967976960
Senior Data Engineer (Bank Tech),Capital One,82.08,🚀 STRONG MATCH - Highly recommended,,"Wilmington, Delaware",https://www.capitalonecareers.com/job/wilmington/senior-data-engineer-bank-tech/1732/84767065616
Senior Data Engineer,Capital One,82.06,🚀 STRONG MATCH - Highly recommended,"$144,200 - $164,600 (Plano, TX & Richmond, VA)","McLean, Virginia; Plano, Texas; Richmond, Virginia",https://www.capitalonecareers.com/job/mclean/senior-data-engineer/1732/84767050432
Lead Data Engineer,Capital One,82.05,🚀 STRONG MATCH - Highly recommended,,"McLean, Virginia",https://www.capitalonecareers.com/job/mclean/lead-data-engineer/1732/84767071248
Lead Data Engineer,Capital One,82.05,🚀 STRONG MATCH - Highly recommended,"$175,800 - $200,700 (Plano, TX/Richmond, VA)","Plano, Texas; Richmond, Virginia; McLean, Virginia",https://www.capitalonecareers.com/job/plano/lead-data-engineer/1732/86301351280
Applied Researcher II,Capital One,82.05,🚀 STRONG MATCH - Highly recommended,"$280,700 - $320,400","San Jose, California",https://www.capitalonecareers.com/job/san-jose/applied-researcher-ii/1732/84767017264
"Senior Lead Data Engineer (Python, EMR, Databricks, AWS)",Capital One,82.04,🚀 STRONG MATCH - Highly recommended,"$225,400 - $257,200 (McLean, VA); $204,900 - $233,800 (Plano, TX); $204,900 - $233,800 (Richmond, VA)","McLean, Virginia / Plano, Texas / Richmond, Virginia / Cambridge, Massachusetts",https://www.capitalonecareers.com/job/mclean/senior-lead-data-engineer-python-emr-databricks-aws/1732/85500982032
Lead Data Engineer,Capital One,82.0,🚀 STRONG MATCH - Highly recommended,"$175,800 - $200,700 (for Plano, TX and Richmond, VA)","McLean, Virginia or Plano, Texas or Richmond, Virginia",https://www.capitalonecareers.com/job/mclean/lead-data-engineer/1732/85492261488
Senior Data Engineer (Python),Capital One,82.0,🚀 STRONG MATCH - Highly recommended,"$144,200 - $164,600 (for Plano, TX and Richmond, VA locations)","Richmond, Virginia, Plano, Texas, or McLean, Virginia",https://www.capitalonecareers.com/job/richmond/senior-data-engineer-python/1732/84767071456
Lead Data Engineer,Capital One,82.0,🚀 STRONG MATCH - Highly recommended,"$175,800 - $200,700","McLean, Virginia",https://www.capitalonecareers.com/job/mclean/lead-data-engineer/1732/84767072800
"Lead Data Engineer (Python, SQL, AWS)",Capital One,82.0,🚀 STRONG MATCH - Highly recommended,"$175,800 - $200,700 (for Richmond, VA Manager, Data Engineering)","McLean, Virginia / Richmond, Virginia",https://www.capitalonecareers.com/job/mclean/lead-data-engineer-python-sql-aws/1732/86477248896
Senior Data Engineer,Capital One,81.99,🚀 STRONG MATCH - Highly recommended,"$144,200 - $164,600 (for Richmond, VA)","McLean, Virginia or Richmond, Virginia",https://www.capitalonecareers.com/job/mclean/senior-data-engineer/1732/84767010800
Senior Data Engineer,Capital One,81.97,🚀 STRONG MATCH - Highly recommended,,"Plano, Texas",https://www.capitalonecareers.com/job/plano/senior-data-engineer/1732/84767017472
Senior Data Engineer,Capital One,81.97,🚀 STRONG MATCH - Highly recommended,"$144,200 - $164,600","Richmond, Virginia",https://www.capitalonecareers.com/job/richmond/senior-data-engineer/1732/84767017584
Senior Data Engineer,Capital One,81.96,🚀 STRONG MATCH - Highly recommended,"$173,000 - $197,400 (New York, NY); $144,200 - $164,600 (Richmond, VA)","McLean, Virginia; Richmond, Virginia; New York, New York",https://www.capitalonecareers.com/job/mclean/senior-data-engineer/1732/84767009920
"Senior Manager, Data Science - GenAI Digital Assistant",Capital One,81.95,🚀 STRONG MATCH - Highly recommended,"$245,900 - $280,600 (for NY and San Jose)","San Jose, California; McLean, Virginia; New York, New York",https://www.capitalonecareers.com/job/san-jose/senior-manager-data-science-genai-digital-assistant/1732/84766994416
Senior Data Engineer (Enterprise Platforms Technology),Capital One,81.94,🚀 STRONG MATCH - Highly recommended,"$144,200 - $164,600","McLean, Virginia",https://www.capitalonecareers.com/job/mclean/senior-data-engineer-enterprise-platforms-technology/1732/84767072736
Senior Data Engineer,Capital One,81.94,🚀 STRONG MATCH - Highly recommended,"$144,200 - $164,600","McLean, Virginia | Richmond, Virginia",https://www.capitalonecareers.com/job/mclean/senior-data-engineer/1732/84767015552
Lead Data Engineer,Capital One,81.93,🚀 STRONG MATCH - Highly recommended,"$175,800 - $200,700 (for Richmond, VA)","McLean, Virginia | Richmond, Virginia",https://www.capitalonecareers.com/job/mclean/lead-data-engineer/1732/84767010096
"Senior Data Engineer (Python, AWS)",Capital One,81.92,🚀 STRONG MATCH - Highly recommended,"$144,200 - $164,600 (for Richmond, VA)","McLean, Virginia, Richmond, Virginia",https://www.capitalonecareers.com/job/mclean/senior-data-engineer-python-aws/1732/86217707952
Senior Data Engineer,Capital One,81.91,🚀 STRONG MATCH - Highly recommended,"$144,200 - $164,600 (for Plano, TX and Richmond, VA)","McLean, Virginia; Plano, Texas; Richmond, Virginia",https://www.capitalonecareers.com/job/mclean/senior-data-engineer/1732/84767012048
Senior Lead Machine Learning Engineer (Enterprise Platform Technlogy),Capital One,81.91,🚀 STRONG MATCH - Highly recommended,"$245,900 - $280,600","New York, New York | McLean, Virginia",https://www.capitalonecareers.com/job/new-york/senior-lead-machine-learning-engineer-enterprise-platform-technlogy/1732/85805074000
"Senior Data Engineer, (ELT/Spark/Python/AWS)",Capital One,81.9,🚀 STRONG MATCH - Highly recommended,,"McLean, Virginia",https://www.capitalonecareers.com/job/mclean/senior-data-engineer-elt-spark-python-aws/1732/84783674448
Senior Associate- Data Analysis- AML,Capital One,81.87,🚀 STRONG MATCH - Highly recommended,,"McLean, Virginia",https://www.capitalonecareers.com/job/mclean/senior-associate-data-analysis-aml/1732/86189311680
"Senior Software Engineer (Python, Spark, AWS)",Capital One,81.86,🚀 STRONG MATCH - Highly recommended,,"McLean, Virginia",https://www.capitalonecareers.com/job/mclean/senior-software-engineer-python-spark-aws/1732/86526007216
"Principal Data Scientist, AI Foundations",Capital One,81.86,🚀 STRONG MATCH - Highly recommended,"$173,000 - $197,400","New York, New York",https://www.capitalonecareers.com/job/new-york/principal-data-scientist-ai-foundations/1732/86070871904
Lead Data Engineer,Capital One,81.86,🚀 STRONG MATCH - Highly recommended,,"Richmond, Virginia",https://www.capitalonecareers.com/job/richmond/lead-data-engineer/1732/85805073168
Senior Data Scientist - NLP,Capital One,81.84,🚀 STRONG MATCH - Highly recommended,"$145,100 - $165,600 (for New York, NY and San Jose, CA)","McLean, Virginia; San Jose, California; New York, New York",https://www.capitalonecareers.com/job/mclean/senior-data-scientist-nlp/1732/84767015664
"Senior Data Scientist, AI Foundations",Capital One,81.84,🚀 STRONG MATCH - Highly recommended,"$145,100 - $165,600","New York, New York, San Jose, California",https://www.capitalonecareers.com/job/new-york/senior-data-scientist-ai-foundations/1732/86194263456
Lead Data Engineer,Capital One,81.84,🚀 STRONG MATCH - Highly recommended,,"Plano, Texas",https://www.capitalonecareers.com/job/plano/lead-data-engineer/1732/85536739856
Senior Data Engineer,Capital One,81.84,🚀 STRONG MATCH - Highly recommended,,"McLean, Virginia",https://www.capitalonecareers.com/job/mclean/senior-data-engineer/1732/86438951264
"Senior Data Engineer (Python, Scala, AWS)",Capital One,81.84,🚀 STRONG MATCH - Highly recommended,"$144,200 - $164,600","McLean, Virginia",https://www.capitalonecareers.com/job/mclean/senior-data-engineer-python-scala-aws/1732/86448346944
